날짜,사번,이름,전화번호,핸드폰 기종,모델넘버,스테이터스,앱 접근 기록,ground_truth
2025-05-24 03:38:29,M48754,최재호,052-100-5491,Galaxy Note20,LM-G910N,정상,위치 정보 요청,0
2025-06-22 21:02:03,M44517,최지연,052-783-0530,Galaxy Note20,SM-G991N,위험 감지,마이크 사용,0
2025-05-28 04:03:49,M80989,김병철,017-779-0803,Galaxy Note20,SM-N986N,정상,정상,0
2025-02-01 04:46:53,M58118,서윤서,062-810-1055,iPhone 13,SM-G991N,위험 감지,위치 정보 요청,0
2025-01-16 14:06:10,M69517,손정희,064-795-8127,Galaxy Note20,A2633,차단됨,정상,0
2025-01-26 23:27:05,M10094,김병철,044-656-3195,Galaxy Note20,LM-G910N,정상,정상,0
2025-03-30 20:21:50,M93627,박정훈,041-812-8047,Galaxy Note20,SM-N986N,정상,위치 정보 요청,0
2025-06-27 16:29:11,M76316,이지우,042-174-9372,Galaxy Note20,LM-G910N,차단됨,카메라 접근,0
2025-02-16 17:09:32,M59681,김지후,070-9937-3716,LG Velvet,A2633,차단됨,카메라 접근,0
2025-04-07 14:39:07,M34318,윤성훈,032-990-2124,iPhone 13,LM-G910N,위험 감지,위치 정보 요청,0
2025-06-29 10:40:32,M12453,박숙자,054-576-7563,iPhone 13,LM-G910N,위험 감지,마이크 사용,0
2025-03-20 16:16:54,M91229,배지연,017-778-7136,Galaxy Note20,SM-N986N,정상,마이크 사용,0
2025-01-26 23:19:23,M57720,강정자,041-127-2202,Galaxy S21,A2633,차단됨,위치 정보 요청,1
2025-01-28 00:07:33,M91290,송영숙,051-743-8894,Galaxy Note20,SM-N986N,차단됨,마이크 사용,0
2025-03-21 11:07:50,M41298,권현주,062-786-8564,iPhone 13,SM-G991N,위험 감지,정상,0
2025-02-01 20:38:50,M52034,김상훈,017-705-1552,LG Velvet,A2633,차단됨,위치 정보 요청,0
2025-04-28 13:48:34,M18302,강민지,017-183-8626,Galaxy Note20,LM-G910N,위험 감지,위치 정보 요청,0
2025-06-14 03:23:43,M96283,김상훈,064-795-1707,LG Velvet,LM-G910N,차단됨,카메라 접근,0
2025-03-01 02:57:04,M80642,김현지,052-721-7807,Galaxy S21,SM-G991N,위험 감지,카메라 접근,0
2025-06-17 20:46:58,M60789,최춘자,011-575-7886,Galaxy S21,LM-G910N,차단됨,위치 정보 요청,0
2025-07-08 01:36:15,M34886,손정남,051-581-7762,Galaxy Note20,SM-N986N,위험 감지,정상,0
2025-04-17 01:30:18,M78690,이예진,010-9829-2964,LG Velvet,A2633,위험 감지,마이크 사용,0
2025-03-23 12:02:14,M99551,이성민,010-2577-6467,Galaxy S21,SM-G991N,정상,정상,0
2025-03-31 18:00:45,M75214,장정숙,052-103-9446,Galaxy Note20,SM-G991N,차단됨,카메라 접근,0
2025-03-25 00:17:51,M82281,이서준,063-982-6870,Galaxy S21,LM-G910N,위험 감지,마이크 사용,0
2025-04-21 14:47:25,M30202,구정수,042-871-1023,iPhone 13,LM-G910N,위험 감지,위치 정보 요청,0
2025-05-24 15:01:34,M90352,노영진,055-498-8047,LG Velvet,SM-G991N,정상,카메라 접근,0
2025-01-05 11:06:11,M47110,박옥순,041-029-3414,Galaxy Note20,SM-N986N,위험 감지,마이크 사용,0
2025-01-17 19:38:49,M52283,최정순,062-313-7411,Galaxy S21,SM-N986N,차단됨,카메라 접근,0
2025-05-17 06:57:29,M63713,문경숙,010-1301-7445,Galaxy S21,A2633,위험 감지,카메라 접근,0
2025-05-07 03:00:37,M94004,강영미,064-751-6396,iPhone 13,LM-G910N,정상,정상,0
2025-07-11 23:05:00,M52208,박정호,062-091-0935,Galaxy Note20,SM-G991N,차단됨,정상,0
2025-05-10 00:32:12,M24478,이순자,018-259-8984,Galaxy S21,LM-G910N,정상,정상,0
2025-03-04 20:23:10,M22616,이정웅,055-960-7507,LG Velvet,LM-G910N,차단됨,위치 정보 요청,0
2025-02-09 11:03:25,M78576,신민서,044-632-8406,Galaxy S21,SM-N986N,정상,위치 정보 요청,0
2025-01-05 13:17:06,M96362,김종수,063-774-6335,LG Velvet,LM-G910N,차단됨,정상,0
2025-06-10 09:27:16,M18739,권승민,033-342-6513,Galaxy S21,A2633,위험 감지,카메라 접근,0
2025-01-14 23:41:45,M15737,이영환,054-751-9038,Galaxy Note20,SM-N986N,정상,위치 정보 요청,0
2025-02-08 15:32:36,M27009,노수민,052-775-9475,Galaxy Note20,SM-N986N,정상,카메라 접근,0
2025-03-29 18:00:35,M33414,최현우,042-148-7529,Galaxy Note20,LM-G910N,차단됨,위치 정보 요청,0
2025-06-13 19:38:51,M14099,김지은,018-908-1318,LG Velvet,SM-N986N,정상,마이크 사용,0
2025-03-26 11:04:01,M36486,최현우,070-2904-3976,Galaxy Note20,A2633,위험 감지,마이크 사용,0
2025-03-30 07:34:31,M24031,이상호,017-482-9596,LG Velvet,SM-G991N,차단됨,위치 정보 요청,0
2025-06-21 21:14:33,M73618,김영환,054-970-1998,LG Velvet,A2633,차단됨,마이크 사용,0
2025-05-17 15:41:45,M35115,신수민,043-458-1809,LG Velvet,SM-N986N,차단됨,위치 정보 요청,0
2025-06-07 03:30:50,M22943,이지훈,033-029-1763,iPhone 13,A2633,위험 감지,정상,0
2025-01-07 18:11:39,M14170,진하윤,031-150-8312,Galaxy S21,SM-N986N,위험 감지,정상,0
2025-03-15 06:21:38,M84843,이하윤,016-747-5716,LG Velvet,LM-G910N,차단됨,마이크 사용,0
2025-06-23 11:29:54,M94115,한윤서,016-792-7100,LG Velvet,SM-N986N,정상,카메라 접근,0
2025-01-30 13:05:13,M60934,이춘자,031-900-4037,Galaxy S21,SM-G991N,차단됨,마이크 사용,0
2025-05-25 13:08:26,M96235,최준혁,043-901-1711,Galaxy Note20,A2633,차단됨,카메라 접근,0
2025-06-24 15:39:39,M74213,서은정,044-285-6120,iPhone 13,LM-G910N,정상,위치 정보 요청,0
2025-02-26 19:17:11,M78920,김서윤,031-724-5318,Galaxy S21,SM-N986N,차단됨,마이크 사용,0
2025-06-16 16:33:11,M91785,이재호,019-051-3954,LG Velvet,A2633,정상,정상,0
2025-05-12 08:09:33,M87371,성춘자,010-5316-1616,Galaxy S21,A2633,차단됨,카메라 접근,0
2025-07-09 07:52:14,M43546,한순옥,070-8877-6024,LG Velvet,A2633,위험 감지,위치 정보 요청,0
2025-02-20 13:51:13,M16433,안영일,052-419-1892,Galaxy Note20,LM-G910N,차단됨,정상,1
2025-05-30 15:35:37,M58018,윤숙자,055-570-6503,Galaxy S21,SM-N986N,정상,정상,0
2025-01-10 09:43:27,M38930,이서영,033-015-7254,iPhone 13,SM-N986N,위험 감지,정상,0
2025-01-21 22:07:55,M89423,신동현,010-2255-1587,Galaxy S21,LM-G910N,위험 감지,위치 정보 요청,0
2025-05-07 14:46:25,M19289,김영환,016-203-7232,LG Velvet,SM-G991N,차단됨,위치 정보 요청,0
2025-06-28 04:19:59,M11715,김예진,053-536-9225,LG Velvet,A2633,위험 감지,마이크 사용,0
2025-06-22 21:05:27,M37359,이영자,051-796-5751,iPhone 13,SM-N986N,위험 감지,위치 정보 요청,0
2025-05-09 15:17:27,M95950,박준영,032-162-1137,LG Velvet,LM-G910N,정상,카메라 접근,0
2025-01-30 11:13:09,M74409,이성훈,032-460-3407,LG Velvet,LM-G910N,차단됨,카메라 접근,1
2025-03-05 05:48:55,M20480,류현지,061-606-1285,LG Velvet,A2633,정상,마이크 사용,0
2025-06-18 14:54:37,M71349,박정훈,016-145-9268,Galaxy S21,LM-G910N,정상,카메라 접근,0
2025-07-04 23:58:01,M93744,김은영,042-264-0966,Galaxy S21,A2633,위험 감지,카메라 접근,0
2025-06-27 22:03:31,M17956,이지원,044-679-9657,iPhone 13,SM-N986N,위험 감지,카메라 접근,0
2025-04-29 18:07:00,M57307,안미정,017-141-0639,iPhone 13,A2633,정상,위치 정보 요청,0
2025-03-26 20:23:18,M83140,이준혁,010-0563-7930,Galaxy Note20,SM-G991N,위험 감지,카메라 접근,0
2025-06-10 02:49:03,M64519,고중수,02-3323-8547,LG Velvet,A2633,정상,정상,0
2025-06-04 04:51:19,M58374,장미숙,053-381-1489,iPhone 13,A2633,정상,위치 정보 요청,0
2025-01-09 22:41:14,M17641,엄정남,041-283-6518,LG Velvet,SM-G991N,차단됨,카메라 접근,0
2025-01-06 19:59:24,M90862,김주원,032-465-9056,iPhone 13,A2633,정상,카메라 접근,0
2025-05-26 03:31:00,M44840,양서영,062-694-9628,Galaxy Note20,LM-G910N,위험 감지,카메라 접근,1
2025-03-19 11:05:11,M79339,박아름,061-665-9249,iPhone 13,SM-N986N,차단됨,정상,0
2025-01-13 19:11:16,M15328,이동현,052-005-0407,Galaxy S21,SM-N986N,차단됨,카메라 접근,0
2025-04-18 23:25:21,M19225,고성호,062-482-0833,LG Velvet,SM-N986N,위험 감지,카메라 접근,0
2025-05-12 00:19:32,M49833,이현우,063-580-6529,Galaxy S21,SM-N986N,정상,마이크 사용,0
2025-04-30 03:33:53,M20215,김순옥,016-995-5652,iPhone 13,SM-G991N,정상,위치 정보 요청,0
2025-02-08 21:12:13,M38298,김진우,019-135-8577,iPhone 13,A2633,차단됨,위치 정보 요청,0
2025-05-14 05:11:13,M78089,윤주원,011-386-2257,Galaxy Note20,A2633,차단됨,정상,0
2025-01-26 11:31:57,M22729,김지민,016-892-4216,Galaxy Note20,LM-G910N,위험 감지,카메라 접근,0
2025-02-10 03:35:04,M23267,윤현준,053-006-1816,Galaxy Note20,A2633,차단됨,정상,0
2025-03-23 01:55:01,M40279,장재호,031-301-4078,iPhone 13,SM-G991N,정상,마이크 사용,0
2025-02-07 15:55:35,M79685,김경숙,063-026-0820,Galaxy Note20,LM-G910N,정상,정상,0
2025-06-13 22:13:00,M60506,서정숙,041-462-4212,iPhone 13,LM-G910N,위험 감지,위치 정보 요청,0
2025-03-15 19:27:42,M34832,이상철,063-762-0901,iPhone 13,A2633,위험 감지,정상,0
2025-05-12 03:28:41,M35312,이선영,053-822-5899,LG Velvet,SM-G991N,정상,마이크 사용,0
2025-07-01 02:32:40,M78969,김영미,052-486-7990,Galaxy S21,SM-N986N,위험 감지,정상,0
2025-02-10 19:54:18,M96098,박상현,054-000-7927,LG Velvet,SM-G991N,위험 감지,마이크 사용,0
2025-04-04 00:22:48,M42605,최민준,041-266-0236,Galaxy S21,SM-G991N,차단됨,정상,0
2025-06-19 09:17:05,M84714,김정희,062-100-1928,Galaxy S21,SM-G991N,차단됨,카메라 접근,0
2025-04-03 01:37:55,M91962,김정수,019-772-8484,iPhone 13,LM-G910N,차단됨,위치 정보 요청,0
2025-03-26 10:46:17,M33448,이경희,055-345-5789,Galaxy Note20,LM-G910N,정상,위치 정보 요청,0
2025-07-09 12:25:01,M83193,이유진,053-752-1765,Galaxy Note20,SM-G991N,정상,정상,0
2025-06-11 04:37:20,M83156,박승현,052-020-9099,Galaxy Note20,SM-N986N,정상,정상,0
2025-03-13 08:01:12,M64419,남영순,032-258-5838,LG Velvet,LM-G910N,차단됨,정상,0
2025-01-23 23:32:44,M23829,김영미,051-856-0991,Galaxy Note20,SM-G991N,위험 감지,마이크 사용,0
2025-06-15 14:05:25,M93705,박준서,052-886-5165,iPhone 13,SM-N986N,정상,정상,0
2025-02-24 09:51:37,M85571,이영식,041-712-6808,Galaxy Note20,A2633,위험 감지,정상,0
2025-01-19 14:26:12,M56918,류미경,061-229-5624,Galaxy Note20,A2633,차단됨,정상,0
2025-04-22 04:25:59,M98407,김정식,061-102-0506,Galaxy Note20,SM-G991N,차단됨,카메라 접근,0
2025-04-16 23:35:50,M70125,김건우,041-971-9074,LG Velvet,SM-G991N,위험 감지,정상,0
2025-02-08 18:45:33,M97194,이순자,043-356-0995,iPhone 13,LM-G910N,정상,위치 정보 요청,0
2025-03-02 18:45:48,M65977,김지우,070-1813-6126,Galaxy Note20,SM-N986N,차단됨,마이크 사용,0
2025-05-05 15:45:28,M23644,박민수,054-403-0385,Galaxy S21,SM-G991N,정상,위치 정보 요청,0
2025-07-14 10:51:56,M31864,양현준,041-574-3181,LG Velvet,A2633,차단됨,위치 정보 요청,0
2025-06-23 23:14:15,M33644,김지민,051-335-0839,Galaxy Note20,SM-G991N,차단됨,마이크 사용,0
2025-03-07 12:19:37,M82085,이현우,010-3678-1545,Galaxy Note20,LM-G910N,차단됨,위치 정보 요청,0
2025-01-16 06:26:50,M62632,김서연,02-6521-7363,LG Velvet,LM-G910N,차단됨,마이크 사용,0
2025-06-10 12:13:47,M76151,김영길,061-587-7420,Galaxy S21,SM-N986N,차단됨,마이크 사용,0
2025-05-13 13:41:20,M54238,허영환,070-9071-1684,Galaxy S21,A2633,차단됨,마이크 사용,0
2025-03-05 03:36:29,M96184,서영순,052-575-2119,LG Velvet,SM-N986N,차단됨,마이크 사용,0
2025-05-13 22:33:53,M30732,장영수,054-615-7360,Galaxy Note20,A2633,정상,카메라 접근,0
2025-06-03 23:12:49,M79979,박현준,02-3026-9209,LG Velvet,A2633,정상,마이크 사용,0
2025-07-13 14:50:15,M88632,오순자,042-611-6969,LG Velvet,SM-G991N,차단됨,위치 정보 요청,1
2025-05-31 13:29:31,M68066,이재현,041-180-1870,LG Velvet,A2633,정상,위치 정보 요청,0
2025-02-01 14:35:09,M56179,김성진,062-388-8988,LG Velvet,A2633,차단됨,정상,0
2025-02-21 13:54:06,M51307,강지원,017-412-1003,Galaxy S21,LM-G910N,정상,마이크 사용,0
2025-04-25 23:20:29,M82100,김영희,044-556-3479,LG Velvet,SM-N986N,정상,마이크 사용,0
2025-01-28 18:20:37,M52553,차영수,016-018-0594,Galaxy Note20,SM-N986N,위험 감지,정상,0
2025-01-25 08:57:24,M58722,이준서,064-772-0391,Galaxy Note20,LM-G910N,차단됨,정상,0
2025-04-05 02:05:51,M64046,박정남,031-325-6359,iPhone 13,SM-G991N,정상,위치 정보 요청,0
2025-05-15 13:15:16,M93000,김경희,019-308-2586,iPhone 13,SM-N986N,차단됨,위치 정보 요청,0
2025-06-10 14:16:20,M66438,배정훈,061-374-4178,LG Velvet,LM-G910N,차단됨,카메라 접근,0
2025-06-16 08:19:57,M52395,이하은,010-5020-5549,iPhone 13,SM-G991N,위험 감지,정상,0
2025-04-02 00:14:47,M89745,박지연,054-327-4137,LG Velvet,LM-G910N,정상,정상,0
2025-05-11 18:03:19,M41551,이예원,011-346-6411,Galaxy S21,SM-N986N,차단됨,마이크 사용,0
2025-05-03 02:35:11,M83812,전민서,017-414-8244,Galaxy S21,SM-N986N,정상,카메라 접근,0
2025-01-24 07:35:37,M81516,김민지,011-733-7450,Galaxy S21,A2633,차단됨,마이크 사용,0
2025-02-14 18:04:27,M38039,배지민,062-127-4688,Galaxy S21,LM-G910N,차단됨,위치 정보 요청,0
2025-05-01 09:03:37,M59160,윤준호,053-996-6094,Galaxy Note20,A2633,차단됨,위치 정보 요청,0
2025-07-02 22:17:59,M82120,이영식,061-929-7113,Galaxy S21,LM-G910N,차단됨,위치 정보 요청,0
2025-04-08 12:05:42,M43303,류병철,011-525-3920,Galaxy S21,SM-N986N,위험 감지,카메라 접근,0
2025-05-20 12:05:24,M57187,최서준,061-597-0954,Galaxy Note20,LM-G910N,차단됨,정상,0
2025-06-28 20:54:33,M69297,김수빈,064-737-5751,LG Velvet,LM-G910N,차단됨,마이크 사용,0
2025-04-30 13:27:06,M68654,김보람,011-580-0840,iPhone 13,SM-G991N,위험 감지,정상,0
2025-01-07 08:14:03,M62047,박영숙,062-449-5030,LG Velvet,SM-G991N,정상,마이크 사용,0
2025-01-28 13:18:54,M10025,이예원,055-881-6598,LG Velvet,SM-G991N,위험 감지,정상,0
2025-03-18 14:38:22,M14543,오광수,033-648-0889,iPhone 13,A2633,차단됨,마이크 사용,1
2025-07-15 13:50:05,M47287,이정훈,032-849-5456,Galaxy S21,LM-G910N,차단됨,위치 정보 요청,0
2025-07-04 03:25:21,M88087,고우진,055-025-4281,Galaxy S21,SM-N986N,차단됨,카메라 접근,0
2025-05-28 07:56:58,M12136,오유진,061-365-6037,Galaxy S21,LM-G910N,정상,위치 정보 요청,0
2025-06-28 12:28:23,M77844,송병철,016-321-6801,Galaxy S21,LM-G910N,위험 감지,위치 정보 요청,0
2025-03-30 07:16:24,M27705,권지원,02-0694-1886,iPhone 13,SM-G991N,위험 감지,정상,0
2025-07-11 06:46:26,M49562,남현지,033-943-3680,Galaxy S21,A2633,위험 감지,마이크 사용,0
2025-03-31 14:37:15,M10860,이영순,02-1496-9545,Galaxy S21,SM-N986N,위험 감지,위치 정보 요청,0
2025-05-21 02:33:50,M49365,조채원,031-361-1653,Galaxy S21,SM-N986N,정상,위치 정보 요청,0
2025-06-13 16:51:47,M39083,서선영,016-252-1849,iPhone 13,SM-G991N,차단됨,정상,0
2025-02-27 11:04:12,M38157,황아름,064-794-6780,Galaxy Note20,SM-N986N,차단됨,위치 정보 요청,0
2025-05-02 19:09:11,M51275,조광수,062-593-1386,iPhone 13,LM-G910N,위험 감지,마이크 사용,0
2025-06-07 01:42:38,M12844,이현정,052-999-1275,Galaxy S21,LM-G910N,위험 감지,카메라 접근,0
2025-02-16 20:20:58,M46170,최성수,061-471-6755,iPhone 13,SM-G991N,위험 감지,카메라 접근,0
2025-04-05 16:36:16,M82569,박현지,016-275-6423,LG Velvet,A2633,차단됨,정상,0
2025-04-21 20:25:51,M77013,지현지,051-577-1616,LG Velvet,LM-G910N,정상,카메라 접근,0
2025-01-02 17:06:21,M82918,김준혁,054-684-3083,Galaxy Note20,A2633,차단됨,위치 정보 요청,0
2025-04-18 04:49:18,M84798,박영호,044-533-1021,Galaxy S21,A2633,정상,정상,0
2025-07-17 02:22:39,M84922,김영순,043-293-1319,Galaxy Note20,SM-N986N,정상,마이크 사용,0
2025-04-10 18:07:44,M30278,허명숙,063-271-4068,LG Velvet,LM-G910N,위험 감지,위치 정보 요청,0
2025-04-11 20:17:56,M22358,최영일,043-935-1733,Galaxy Note20,SM-N986N,위험 감지,카메라 접근,0
2025-05-02 18:47:21,M14946,홍상호,042-130-0269,LG Velvet,SM-G991N,차단됨,위치 정보 요청,1
2025-02-20 17:07:46,M70341,황정식,041-264-9105,LG Velvet,LM-G910N,위험 감지,정상,1
2025-01-18 23:11:39,M56616,이영길,063-564-4981,iPhone 13,SM-G991N,위험 감지,위치 정보 요청,0
2025-03-21 13:52:26,M30461,서영희,053-867-1066,Galaxy S21,SM-N986N,정상,카메라 접근,0
2025-02-04 18:55:05,M28141,김상호,064-775-4919,LG Velvet,SM-N986N,위험 감지,카메라 접근,0
2025-02-28 19:13:19,M44732,이정자,062-077-8192,Galaxy S21,SM-N986N,정상,카메라 접근,0
2025-06-04 13:26:25,M58114,김서준,044-960-5502,Galaxy Note20,LM-G910N,위험 감지,카메라 접근,0
2025-02-26 07:33:47,M86304,구승민,053-792-6755,Galaxy Note20,SM-N986N,정상,정상,0
2025-01-01 21:00:14,M42749,이영진,070-2421-8605,LG Velvet,SM-G991N,차단됨,정상,0
2025-01-05 00:23:45,M40539,황하윤,018-220-6785,Galaxy S21,A2633,정상,위치 정보 요청,0
2025-04-20 13:09:44,M43586,이진호,02-5162-2920,LG Velvet,LM-G910N,차단됨,정상,0
2025-03-19 21:59:52,M49361,강은서,044-304-8618,LG Velvet,SM-G991N,정상,카메라 접근,0
2025-04-20 13:37:20,M22046,서선영,031-100-9469,iPhone 13,LM-G910N,차단됨,마이크 사용,0
2025-05-29 13:19:52,M84774,노상훈,064-744-0444,Galaxy Note20,SM-N986N,위험 감지,위치 정보 요청,0
2025-07-03 13:58:58,M62402,김서윤,018-965-8626,Galaxy S21,LM-G910N,정상,마이크 사용,0
2025-04-07 09:20:05,M84588,이주원,062-118-2417,Galaxy Note20,SM-N986N,정상,카메라 접근,0
2025-06-11 19:29:43,M38499,장하윤,019-551-2532,iPhone 13,SM-G991N,정상,마이크 사용,0
2025-04-05 00:34:44,M20118,이영식,062-544-3865,Galaxy Note20,SM-G991N,정상,위치 정보 요청,0
2025-06-20 12:45:43,M52558,최미숙,042-299-9799,iPhone 13,A2633,위험 감지,정상,0
2025-07-10 22:18:09,M73246,최영진,043-508-2529,Galaxy Note20,SM-N986N,위험 감지,카메라 접근,0
2025-06-26 20:39:00,M32662,김지현,064-766-1877,Galaxy S21,A2633,정상,위치 정보 요청,0
2025-01-06 11:11:39,M73999,강혜진,018-073-4842,iPhone 13,SM-G991N,차단됨,정상,0
2025-06-30 14:27:48,M85527,장현우,064-764-3585,Galaxy Note20,SM-N986N,차단됨,마이크 사용,0
2025-05-29 22:46:58,M22499,이시우,041-062-3523,iPhone 13,A2633,정상,카메라 접근,0
2025-05-01 16:47:52,M88018,김서연,032-192-9050,Galaxy S21,LM-G910N,정상,정상,0
2025-07-06 02:22:58,M94181,양영진,061-647-4263,Galaxy Note20,LM-G910N,위험 감지,마이크 사용,0
2025-04-12 17:22:20,M49373,김진우,064-799-1186,LG Velvet,SM-G991N,위험 감지,위치 정보 요청,0
2025-05-05 03:53:08,M14898,이미경,061-562-0813,Galaxy S21,SM-G991N,정상,위치 정보 요청,0
2025-04-03 01:29:00,M85534,백준혁,054-319-6644,Galaxy S21,A2633,차단됨,위치 정보 요청,0
2025-03-23 15:57:47,M60010,이지원,042-146-8744,Galaxy S21,A2633,차단됨,카메라 접근,0
2025-04-19 02:56:35,M20286,서미정,019-462-0531,Galaxy S21,A2633,위험 감지,카메라 접근,1
2025-05-17 04:20:15,M17329,노유진,062-517-9660,LG Velvet,SM-N986N,위험 감지,마이크 사용,0
2025-06-02 18:34:57,M53829,이정호,051-503-0286,Galaxy Note20,LM-G910N,정상,정상,0
2025-03-26 08:38:59,M55603,김성호,041-747-7183,Galaxy S21,SM-N986N,정상,마이크 사용,0
2025-04-27 02:22:39,M66925,박성훈,042-549-0170,Galaxy Note20,SM-N986N,위험 감지,정상,0
2025-04-25 23:28:26,M64594,박종수,031-806-7118,iPhone 13,A2633,정상,정상,1
2025-01-07 10:44:53,M25799,최선영,032-363-7815,Galaxy S21,LM-G910N,위험 감지,정상,0
2025-06-01 13:00:24,M39716,김영철,051-112-2881,Galaxy S21,A2633,정상,마이크 사용,0
2025-05-13 22:17:19,M95561,손준서,02-1452-9020,Galaxy Note20,LM-G910N,위험 감지,카메라 접근,0
2025-01-24 00:54:42,M88944,곽영희,053-087-7162,LG Velvet,LM-G910N,차단됨,정상,0
2025-05-01 21:46:53,M11498,김정숙,051-520-2890,iPhone 13,A2633,정상,마이크 사용,0
2025-06-18 04:35:04,M93084,최정훈,031-316-6802,LG Velvet,SM-G991N,정상,카메라 접근,0
2025-02-10 12:45:12,M92862,이재호,017-605-5562,Galaxy Note20,SM-N986N,차단됨,마이크 사용,0
2025-03-20 01:10:03,M60133,김재현,010-6096-3018,Galaxy S21,LM-G910N,차단됨,위치 정보 요청,0
2025-02-24 10:58:58,M17094,김영식,042-633-5550,Galaxy Note20,A2633,위험 감지,정상,0
2025-06-05 14:55:20,M49948,강은서,017-826-7152,Galaxy Note20,SM-N986N,정상,마이크 사용,0
2025-07-01 17:48:44,M78731,박수진,033-751-8457,Galaxy Note20,SM-N986N,차단됨,정상,0
2025-04-19 08:54:21,M15397,남윤서,018-992-6122,Galaxy Note20,A2633,위험 감지,카메라 접근,0
2025-05-02 12:54:25,M51853,박예원,02-7966-8041,Galaxy S21,SM-G991N,차단됨,위치 정보 요청,0
2025-01-11 04:07:19,M80769,김도현,063-496-9427,iPhone 13,SM-G991N,정상,위치 정보 요청,0
2025-06-14 02:04:15,M84044,황수민,064-769-3962,Galaxy S21,A2633,정상,마이크 사용,0
2025-06-20 03:27:05,M29605,박준혁,017-813-2523,Galaxy Note20,SM-G991N,정상,마이크 사용,0
2025-07-04 08:50:34,M52838,김도윤,062-006-2361,Galaxy Note20,SM-N986N,정상,카메라 접근,0
2025-01-08 13:30:26,M75850,류미정,063-410-3848,Galaxy S21,A2633,위험 감지,카메라 접근,1
2025-05-05 10:55:46,M38940,오영식,052-928-4530,LG Velvet,LM-G910N,위험 감지,정상,0
2025-02-10 09:48:46,M30079,손은서,032-014-6932,LG Velvet,A2633,차단됨,위치 정보 요청,0
2025-01-07 08:25:55,M16621,고은지,031-755-8522,LG Velvet,SM-G991N,정상,정상,0
2025-06-16 18:45:43,M98294,이상호,033-651-1116,Galaxy Note20,SM-N986N,정상,위치 정보 요청,0
2025-07-08 10:49:44,M61495,박미숙,041-634-2738,Galaxy S21,SM-N986N,정상,마이크 사용,1
2025-02-05 05:30:42,M68407,박영환,064-756-0846,Galaxy S21,LM-G910N,위험 감지,카메라 접근,0
2025-04-15 07:55:37,M88005,이아름,017-692-7017,LG Velvet,A2633,정상,마이크 사용,1
2025-01-02 18:23:48,M85399,이민지,018-290-4072,LG Velvet,SM-G991N,위험 감지,카메라 접근,0
2025-04-26 21:52:43,M76155,이재현,055-151-3734,Galaxy S21,LM-G910N,차단됨,위치 정보 요청,0
2025-04-29 06:37:52,M21807,김명숙,033-480-9674,Galaxy Note20,A2633,차단됨,위치 정보 요청,0
2025-06-25 02:45:31,M39109,김지후,070-5690-5062,LG Velvet,SM-G991N,위험 감지,카메라 접근,1
2025-06-11 17:37:08,M66614,성재현,041-650-5415,iPhone 13,SM-G991N,정상,마이크 사용,0
2025-06-22 06:56:39,M47982,이예원,053-719-1227,iPhone 13,SM-N986N,정상,카메라 접근,0
2025-02-09 22:07:49,M61684,황민준,061-598-1143,Galaxy S21,SM-N986N,차단됨,정상,1
2025-05-16 06:37:27,M29400,박은서,052-518-9620,Galaxy Note20,SM-N986N,정상,마이크 사용,0
2025-04-13 21:19:24,M27326,이시우,044-069-5722,iPhone 13,SM-G991N,차단됨,마이크 사용,0
2025-07-04 20:32:18,M54062,김성민,041-375-1829,LG Velvet,A2633,정상,정상,0
2025-02-21 07:12:38,M20819,서미경,054-670-0222,Galaxy Note20,A2633,위험 감지,마이크 사용,0
2025-05-28 13:12:43,M72371,하현우,031-236-8004,Galaxy S21,A2633,위험 감지,위치 정보 요청,0
2025-04-16 04:44:57,M84899,권지훈,017-151-0988,LG Velvet,LM-G910N,위험 감지,카메라 접근,0
2025-05-24 11:46:11,M16463,한준영,064-766-8655,Galaxy Note20,LM-G910N,정상,위치 정보 요청,0
2025-04-09 22:11:37,M81847,김민서,064-701-7952,Galaxy S21,SM-N986N,차단됨,마이크 사용,0
2025-07-11 23:58:15,M62322,최민재,061-418-6490,Galaxy Note20,SM-N986N,위험 감지,위치 정보 요청,0
2025-01-27 22:38:29,M44413,황지우,010-8488-2283,iPhone 13,A2633,정상,정상,1
2025-02-15 19:56:01,M21151,홍은경,062-357-4142,iPhone 13,SM-N986N,차단됨,마이크 사용,0
2025-07-03 03:53:27,M62235,이준혁,052-006-9124,Galaxy S21,A2633,차단됨,카메라 접근,0
2025-06-27 02:00:19,M75774,김명자,031-038-2325,iPhone 13,A2633,차단됨,카메라 접근,0
2025-06-24 09:56:02,M66949,전도윤,017-941-7403,Galaxy S21,LM-G910N,정상,카메라 접근,0
2025-05-13 18:24:47,M27088,김수민,02-6442-0801,iPhone 13,A2633,위험 감지,정상,0
2025-07-01 11:32:34,M27677,오정수,032-418-1788,Galaxy Note20,SM-N986N,위험 감지,카메라 접근,0
2025-04-01 13:47:14,M73035,박명자,033-753-2750,Galaxy Note20,A2633,위험 감지,위치 정보 요청,0
2025-06-17 09:50:40,M83308,강우진,017-178-5333,Galaxy S21,SM-N986N,위험 감지,위치 정보 요청,0
2025-04-15 12:28:52,M35966,김성수,041-493-3890,LG Velvet,A2633,차단됨,마이크 사용,0
2025-06-15 20:30:13,M73944,최중수,02-9952-6467,Galaxy Note20,SM-G991N,차단됨,카메라 접근,1
2025-06-06 22:52:31,M61815,최명자,033-522-6969,Galaxy Note20,LM-G910N,정상,정상,1
